"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 09:10:59 UTC 2026","Thu Sep 10 09:10:59 UTC 2026","520","","","","","","[QA] Negative: Login failure with invalid credentials",""
"passed","Thu Sep 10 09:11:13 UTC 2026","Thu Sep 10 09:11:14 UTC 2026","905","","","","","","[QA] Positive: Complete checkout flow Sneha",""
"passed","Thu Sep 10 09:09:58 UTC 2026","Thu Sep 10 09:10:00 UTC 2026","1623","","","","","","[QA] Positive: Complete checkout flow Amit",""
"passed","Thu Sep 10 09:09:51 UTC 2026","Thu Sep 10 09:09:52 UTC 2026","865","","","","","","[QA] Verify Open Invalid Product URL",""
"passed","Thu Sep 10 09:10:52 UTC 2026","Thu Sep 10 09:10:53 UTC 2026","774","","","","","","[QA] Positive: Complete checkout flow Vikram",""
"passed","Thu Sep 10 09:09:32 UTC 2026","Thu Sep 10 09:09:32 UTC 2026","570","","","","","","[QA] Verify Open Invalid Product URL",""
"passed","Thu Sep 10 09:11:16 UTC 2026","Thu Sep 10 09:11:17 UTC 2026","860","","","","","","[QA] Positive: Complete checkout flow Pooja",""
"passed","Thu Sep 10 09:10:02 UTC 2026","Thu Sep 10 09:10:03 UTC 2026","1554","","","","","","[QA] Positive: Complete checkout flow Rahul",""
"passed","Thu Sep 10 09:09:33 UTC 2026","Thu Sep 10 09:09:33 UTC 2026","485","","","","","","[QA] Positive: Successful login with valid credentials problem_user",""
"passed","Thu Sep 10 09:10:11 UTC 2026","Thu Sep 10 09:10:12 UTC 2026","1597","","","","","","[QA] Positive: Complete checkout flow Karan",""
"passed","Thu Sep 10 09:09:30 UTC 2026","Thu Sep 10 09:09:31 UTC 2026","554","","","","","","[QA] Positive: Complete checkout flow Karan",""
"passed","Thu Sep 10 09:09:23 UTC 2026","Thu Sep 10 09:09:23 UTC 2026","18","","","","","","[QA] TC_GET_001 - Fetch booking using valid booking ID",""
"passed","Thu Sep 10 09:10:57 UTC 2026","Thu Sep 10 09:10:58 UTC 2026","658","","","","","","[QA] Positive: Successful login with valid credentials problem_user",""
