"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 06:07:18 UTC 2026","Wed Aug 12 06:07:19 UTC 2026","1504","","","","","","[STAGE] Positive: Complete checkout flow Karan",""
"passed","Wed Aug 12 06:06:30 UTC 2026","Wed Aug 12 06:06:30 UTC 2026","75","","","","","","[STAGE] TC_GET_002 - Fetch booking using invalid booking ID",""
"passed","Wed Aug 12 06:06:57 UTC 2026","Wed Aug 12 06:06:58 UTC 2026","840","","","","","","[STAGE] Verify Successfully add product to cart @smoke",""
"passed","Wed Aug 12 06:06:56 UTC 2026","Wed Aug 12 06:06:57 UTC 2026","1124","","","","","","[STAGE] Negative: Verify if first name is mandatory field and error message found",""
"passed","Wed Aug 12 06:07:21 UTC 2026","Wed Aug 12 06:07:22 UTC 2026","1381","","","","","","[STAGE] Verify Successfully add product to cart @smoke",""
"passed","Wed Aug 12 06:06:51 UTC 2026","Wed Aug 12 06:06:52 UTC 2026","980","","","","","","[STAGE] Positive: Complete checkout flow Neha",""
"passed","Wed Aug 12 06:06:41 UTC 2026","Wed Aug 12 06:06:41 UTC 2026","494","","","","","","[STAGE] Positive: Successful login with valid credentials visual_user",""
"passed","Wed Aug 12 06:06:41 UTC 2026","Wed Aug 12 06:06:42 UTC 2026","367","","","","","","[STAGE] Negative: Login failure with invalid credentials",""
"passed","Wed Aug 12 06:07:24 UTC 2026","Wed Aug 12 06:07:25 UTC 2026","1165","","","","","","[STAGE] Positive: Successful login with valid credentials standard_user",""
"passed","Wed Aug 12 06:08:13 UTC 2026","Wed Aug 12 06:08:17 UTC 2026","3573","","","","","","[STAGE] Positive: Complete checkout flow Nitin",""
"passed","Wed Aug 12 06:08:24 UTC 2026","Wed Aug 12 06:08:24 UTC 2026","706","","","","","","[STAGE] Positive: Complete checkout flow Sneha",""
"passed","Wed Aug 12 06:07:26 UTC 2026","Wed Aug 12 06:07:27 UTC 2026","1108","","","","","","[STAGE] Positive: Successful login with valid credentials visual_user",""
"passed","Wed Aug 12 06:06:42 UTC 2026","Wed Aug 12 06:06:44 UTC 2026","1844","","","","","","[STAGE] Positive: Complete checkout flow Nitin",""
"passed","Wed Aug 12 06:08:01 UTC 2026","Wed Aug 12 06:08:02 UTC 2026","825","","","","","","[STAGE] Positive: Complete checkout flow Priya",""
"passed","Wed Aug 12 06:06:30 UTC 2026","Wed Aug 12 06:06:30 UTC 2026","77","","","","","","[STAGE] TC_DELETE_002 - Delete booking without auth token",""
"passed","Wed Aug 12 06:06:39 UTC 2026","Wed Aug 12 06:06:40 UTC 2026","522","","","","","","[STAGE] Verify Open Invalid Product URL",""
"passed","Wed Aug 12 06:06:34 UTC 2026","Wed Aug 12 06:06:34 UTC 2026","592","","","","","","[STAGE] Positive: Complete checkout flow Rahul",""
"passed","Wed Aug 12 06:06:53 UTC 2026","Wed Aug 12 06:06:54 UTC 2026","1140","","","","","","[STAGE] Positive: Complete checkout flow Pooja",""
"passed","Wed Aug 12 06:06:31 UTC 2026","Wed Aug 12 06:06:31 UTC 2026","738","","","","","","[STAGE] Positive: Complete checkout flow Nitin",""
"passed","Wed Aug 12 06:07:00 UTC 2026","Wed Aug 12 06:07:01 UTC 2026","775","","","","","","[STAGE] Positive: Successful login with valid credentials visual_user",""
"passed","Wed Aug 12 06:07:12 UTC 2026","Wed Aug 12 06:07:13 UTC 2026","1466","","","","","","[STAGE] Positive: Complete checkout flow Arjun",""
"passed","Wed Aug 12 06:08:23 UTC 2026","Wed Aug 12 06:08:24 UTC 2026","694","","","","","","[STAGE] Positive: Complete checkout flow Rahul",""
"passed","Wed Aug 12 06:08:00 UTC 2026","Wed Aug 12 06:08:01 UTC 2026","929","","","","","","[STAGE] Positive: Complete checkout flow Amit",""
"passed","Wed Aug 12 06:08:29 UTC 2026","Wed Aug 12 06:08:30 UTC 2026","697","","","","","","[STAGE] Verify Open Invalid Product URL",""
"passed","Wed Aug 12 06:06:30 UTC 2026","Wed Aug 12 06:06:30 UTC 2026","153","","","","","","[STAGE] TC_CREATE_UPDATE_001 - Create and update booking successfully",""
"passed","Wed Aug 12 06:06:40 UTC 2026","Wed Aug 12 06:06:40 UTC 2026","511","","","","","","[STAGE] Positive: Successful login with valid credentials standard_user",""
"passed","Wed Aug 12 06:08:05 UTC 2026","Wed Aug 12 06:08:06 UTC 2026","782","","","","","","[STAGE] Positive: Complete checkout flow Vikram",""
"passed","Wed Aug 12 06:06:47 UTC 2026","Wed Aug 12 06:06:48 UTC 2026","945","","","","","","[STAGE] Positive: Complete checkout flow Priya",""
"passed","Wed Aug 12 06:06:29 UTC 2026","Wed Aug 12 06:06:29 UTC 2026","79","","","","","","[STAGE] TC_AUTH_002 - Generate token with invalid credentials",""
"passed","Wed Aug 12 06:06:33 UTC 2026","Wed Aug 12 06:06:34 UTC 2026","576","","","","","","[STAGE] Positive: Complete checkout flow Priya",""
"passed","Wed Aug 12 06:06:29 UTC 2026","Wed Aug 12 06:06:30 UTC 2026","153","","","","","","[STAGE] TC_GET_001 - Fetch booking using valid booking ID",""
"passed","Wed Aug 12 06:07:27 UTC 2026","Wed Aug 12 06:07:28 UTC 2026","837","","","","","","[STAGE] Negative: Login failure with invalid credentials",""
"passed","Wed Aug 12 06:07:00 UTC 2026","Wed Aug 12 06:07:00 UTC 2026","722","","","","","","[STAGE] Positive: Successful login with valid credentials problem_user",""
"passed","Wed Aug 12 06:08:28 UTC 2026","Wed Aug 12 06:08:29 UTC 2026","632","","","","","","[STAGE] Negative: Verify if first name is mandatory field and error message found",""
"passed","Wed Aug 12 06:08:07 UTC 2026","Wed Aug 12 06:08:07 UTC 2026","787","","","","","","[STAGE] Positive: Complete checkout flow Karan",""
"passed","Wed Aug 12 06:06:52 UTC 2026","Wed Aug 12 06:06:53 UTC 2026","1019","","","","","","[STAGE] Positive: Complete checkout flow Vikram",""
"passed","Wed Aug 12 06:06:30 UTC 2026","Wed Aug 12 06:06:30 UTC 2026","150","","","","","","[STAGE] TC_DELETE_001 - Delete booking with valid token",""
"passed","Wed Aug 12 06:06:29 UTC 2026","Wed Aug 12 06:06:29 UTC 2026","78","","","","","","[STAGE] TC_AUTH_001 - Generate token with valid credentials",""
"passed","Wed Aug 12 06:07:25 UTC 2026","Wed Aug 12 06:07:26 UTC 2026","1133","","","","","","[STAGE] Positive: Successful login with valid credentials problem_user",""
